item,itemLabel,fnames,lnames,itemDescription,birth,death,professions,summary
Q17307142,Andrea Corner,Andrea,Corner,Italian politician,1686,1730,"politician, diplomat",
Q1872946,Luca Antonio Busati,"Antonio, Luca",Busati,painter (1470-1518),1470,1518,painter,
Q3842985,Maestro dell'Annunciazione Ludlow,,,Italian painter (1430-1460),1430,1460,painter,
Q55678340,Lorenzo Sacchetti,Lorenzo,Sacchetti,,1759,1836,scenographer,
Q54880775,Giustina Cappello,Giustina,Cappello,,,,Dogaressa,
Q51324072,Antonio Sacchetti,Antonio,Sacchetti,"Venetian painter, lithographer, and designer, 1790-1870",1790,1870,painter,
Q3894063,Paolo Francesco Giustinian,Paolo,Q64031004,Italian archbishop,1715,1789,"archbishop, Catholic priest, catholic deacon",
Q588238,Biagio di Giorgio da Traù,Biagio,,,1301,1449,painter,
Q3080975,Francesco Gritti,Francesco,Gritti,,1740,1811,"poet, translator",
Q16585463,Ottavio Bruto Revese,Ottavio,,Italian architect,1585,1648,architect,
Q58219024,Q58219024,Giovanni,,,,,architect,
Q3107042,Giovanni Battista Brusasorci,"Giovanni, Giambattista",,Italian painter,1544,,painter,
Q86596406,Francesco Foscari,Francesco,,,1704,1790,,
Q3118716,Gualtiero Padovano,Gualtiero,,Italian painter (1510-1552),1510,1552,painter,
Q3805816,Jacobello dalle Masegne,Jacobello,,Italian sculptor (1350-1409),1350,1409,"architect, sculptor",
Q54880824,Contarina Contarini Morosini,,,,,,Dogaressa,
Q49010301,Antonio Peteani,Antonio,,,1789,1857,Catholic priest,
Q39805801,Erasmo Graziani,Erasmo,Graziani,,,,legal counsel,
Q16920549,Ludovico Rangoni,Ludovico,Rangoni,Italian condottiero,,1552,condottiero,
Q15691232,Giovanni Battista Recanati,"Giovanni, Giovanni Battista",,Italian poet,1687,1734,poet,
Q3108173,Giuseppe Zucconi,Giuseppe,,,1721,1754,poet,
Q16560954,Giuseppe Pasini,Giuseppe,Pasini,,1687,1770,religious,
Q50359726,Giberto IV da Correggio,Gilberto,,politician,1320,1373,politician,
Q3894063,Paolo Francesco Giustinian,Paolo,Q64031004,Italian archbishop,1715,1789,"archbishop, Catholic priest, catholic deacon",
Q16558267,Gabriele Dondi dall'Orologio,Gabriel,,Italian physician,1328,1383,physician,
Q3620043,Antonio Pilon,Antonio,Pilon,,,1849,,
Q3749580,Francesco Augusto Bon,Francesco,,Italian playwright,1788,1858,playwright,
Q3876534,Nicolò Antonio Giustinian,Nicolò,,roman-catholic bishop,1712,1796,Catholic priest,
Q25403179,Michele Lorenzo Mancini,,,died 1656,1602,1656,alchemist,
Q30909664,Jacopo Antonio Bassani,Jacopo,,,1686,1747,Catholic priest,
Q4274331,Luigi Madonis,"Giovanni, Luigi",Madonis,Italian composer and violinist,1690,1770,"composer, violinist",
Q16532393,Biancamaria Martinengo,,,,1466,1480,,
Q3619900,Antonio Minello,Antonio,Minello,Italian sculptor (1465-1529),1465,1529,sculptor,
Q88094728,Q88094728,,,,1500,1561,politician,
Q1448675,Franz Renner,Franz,Renner,German printer active in Venice from 1471 ca to 1486 ca,_:t2,1483,printer,
Q3767085,Giovanni da Lezze,Giovanni,,Italian politician,1554,1625,politician,
Q3619172,Antonio Ambrosi,Antonio,Ambrosi,Italian singer,1786,_:t2,opera singer,
